"ID","Area","Feature","User story","Primary persona(s)","Preconditions","Expected behavior based on code","Evidence source","UI/API path","Current status","Test method","Test result","Error or UX issue","Fix status","Retest result"
"LF-001","Shell / Navigation","Global header and primary nav","As any user, I can navigate between the LoanFlow app, AI-DLC artifacts, feature tracker, and README demo page from the top nav.","All seeded personas","Demo database has users; app is running.","Header renders LoanFlow brand, LoanFlow App link to /, AI-DLC artifacts link to /aidlc, Feature tracker link to /feature-tracker, README link to /readme, plus Viewing as selector.","components/Header.tsx","/; /aidlc; /feature-tracker; /readme","Tested - passed","Manual/browser HTTP","Passed by npm run story:check (48/48) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, feature tracker, and new-loan form.","Fixed: primary nav was hidden below md viewport, making README and AI-DLC demo links inaccessible on mobile.","Fixed in components/Header.tsx by making nav visible and wrapping on small viewports, then renamed the root link to LoanFlow App for clearer demos.","Passed: desktop and 390px mobile browser snapshots expose LoanFlow App, AI-DLC artifacts, Feature tracker, and README; README click opens /readme."
"LF-002","Shell / Session","Persona switcher","As a demo operator, I can switch personas without logging in to demonstrate role-based behavior.","All seeded personas","Seeded users exist.","Selecting a user POSTs /api/session, writes lf_uid cookie, refreshes page, and changes current user context.","components/Header.tsx; app/api/session/route.ts; lib/auth.ts","Header selector; /api/session","Tested - passed","Manual/browser/API","Passed by npm run story:check and browser persona switch to manager; dashboard changed to viewing all loans.","None found in tested behavior.","No fix required","Passed after fixes."
"LF-003","Dashboard","Role-scoped dashboard title and scope text","As each persona, I see dashboard copy that matches my role and loan scope.","Borrower, staff, manager","Current session user is selected.","Borrowers see My applications and your business loans; manager sees viewing all loans; other staff see loans you're assigned to.","app/page.tsx","/","Tested - passed","Manual/browser","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-004","Dashboard","Role-scoped loan list","As a user, I only see loans I am allowed to see.","Borrower, loan officer, credit analyst, underwriter, manager","Seeded loans and loan_members exist.","Manager sees all loans; borrower sees loans where borrowerId equals current user; staff see loans where loan_members has their userId.","lib/repo.ts listLoansForUser; lib/policy.ts","/; /api/loans","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-005","Dashboard","My open tasks panel","As a user with assigned open tasks, I see a My open tasks panel linking to relevant loans.","All personas that can be task assignees","At least one task assigned to current user with status not done.","Panel appears only when listMyOpenTasks returns rows; tasks are ordered by due date null-last and link to /loans/{loanId}.","app/page.tsx; lib/repo.ts listMyOpenTasks","/","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-006","Dashboard","Loan summary cards","As a user, I can scan each visible loan's stage, purpose, amount, term, pending docs, open tasks, and tasks assigned to me.","All personas","Visible loans exist.","Each loan card displays business name, StageBadge, optional decision chip, purpose, amount, term, StageBar, pending doc count, open task count, and my task count when nonzero.","app/page.tsx; components/StageBar.tsx; lib/repo.ts listLoansForUser","/","Tested - passed","Manual/browser","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-007","Dashboard","Empty loan state","As a user with no visible loans, I see a clear empty state and, if allowed, a create link.","All personas","Current user has no visible loans.","Empty card displays either Create the first one link for users who can create loans or borrower-facing guidance.","app/page.tsx; lib/policy.ts","/","Tested - passed","Manual/browser","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-008","Loan creation","Borrower creates own loan","As a borrower, I can start a new loan application for my own business.","Borrower","Current user role is borrower.","Borrower can access /loans/new; form omits borrower selector; POST /api/loans uses current user id as borrowerId; created loan starts draft and logs creation/stage event.","app/loans/new/page.tsx; components/NewLoanForm.tsx; app/api/loans/route.ts; lib/repo.ts createLoan","/loans/new; /api/loans","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-009","Loan creation","Staff creates loan for borrower","As a loan officer or manager, I can create a loan record on behalf of a borrower.","Loan officer, manager","Current user is loan_officer or manager; borrowers exist.","Form includes borrower selector; borrowerId is required for staff-created loans; creator is added as loan member; loan starts draft.","app/loans/new/page.tsx; app/api/loans/route.ts; lib/repo.ts createLoan","/loans/new; /api/loans","Tested - passed","Manual/browser/API","Passed by npm run story:check and browser new-loan form submission; routed to /loans/3 with UI Test Capital LLC.","None found in tested behavior.","No fix required","Passed after fixes; demo DB reseeded after mutation."
"LF-010","Loan creation","Create loan authorization","As a credit analyst or underwriter, I should not be able to create loans.","Credit analyst, underwriter","Current user role is credit_analyst or underwriter.","can('loan:create') is false; New loan button is hidden; direct /loans/new redirects to /; POST /api/loans returns 403.","lib/policy.ts; app/page.tsx; app/loans/new/page.tsx; app/api/loans/route.ts","/; /loans/new; /api/loans","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-011","Loan detail","Loan access control","As a user, I can open only loans I am authorized to view.","All personas","Loans and memberships exist.","Loan detail returns workspace only if can('loan:view') passes; unauthorized users see an access-denied card with Back to pipeline link; API GET returns 403.","app/loans/[id]/page.tsx; app/api/loans/[id]/route.ts; lib/policy.ts","/loans/{id}; /api/loans/{id}","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-012","Loan detail","Loan header, facts, and stage bar","As a participant, I can see the loan purpose, borrower, contact, amount, term, decision, stage bar, and key details.","Authorized users","Authorized loan detail is opened.","Workspace header shows business name, purpose, borrower/contact email, amount, term, optional decision; overview facts show stage, amount, term, borrower org, contact, opened, updated, and decision note.","components/LoanWorkspace.tsx","/loans/{id} Overview","Tested - passed","Manual/browser","Passed by npm run story:check and browser loan detail tab checks; Overview/Documents/Tasks/Activity render expected panels.","None found in tested behavior.","No fix required","Passed after fixes."
"LF-013","Pipeline","Advance to adjacent stage","As an authorized staff user, I can advance a loan to the next stage and record an optional transition note.","Loan officer, underwriter, manager","Loan is not closed; user has stage:change permission.","Pipeline actions section shows Advance button; POST /stage accepts only valid next adjacent stage; loan updated, stage_event added, activity logged.","components/LoanWorkspace.tsx OverviewTab; app/api/loans/[id]/stage/route.ts; lib/repo.ts changeStage","/loans/{id} Overview; /api/loans/{id}/stage","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-014","Pipeline","Return to adjacent previous stage","As an authorized staff user, I can return a loan to the immediately previous stage with an optional note.","Loan officer, underwriter, manager","Loan stage index greater than draft and not closed.","Pipeline actions section shows Return button; POST /stage accepts only previous adjacent stage; loan updated, stage_event added, returned activity logged.","components/LoanWorkspace.tsx OverviewTab; lib/repo.ts changeStage","/loans/{id} Overview; /api/loans/{id}/stage","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-015","Pipeline","Reject non-adjacent stage jumps","As the system, I prevent users from jumping over pipeline stages.","Authorized stage changers","Loan exists and requested target stage is not adjacent.","changeStage returns error Can only move to an adjacent stage; API responds 400; stage remains unchanged.","lib/repo.ts changeStage; app/api/loans/[id]/stage/route.ts","/api/loans/{id}/stage","Tested - passed","API/script","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-016","Pipeline","Decision stage non-manager view","As a non-manager at Decision stage, I see that a manager must record the final decision.","Loan officer, underwriter","Loan stage is decision; current user can change stage but cannot decision:record.","Overview shows Awaiting a manager to record the final decision instead of decision buttons.","components/LoanWorkspace.tsx OverviewTab; lib/policy.ts","/loans/{id} Overview","Tested - passed","Manual/browser","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-017","Pipeline","Manager records final decision and closes loan","As a manager, I can record Approved, Declined, or Withdrawn and close a loan from Decision stage.","Manager","Loan stage is decision.","Decision chips render; Record decision & close POSTs toStage closed with decision and optional rationale; decision is stored; stage becomes closed; activity logs decision.","components/LoanWorkspace.tsx OverviewTab; app/api/loans/[id]/stage/route.ts; lib/repo.ts changeStage","/loans/{id} Overview; /api/loans/{id}/stage","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-018","Pipeline","Closed loan terminal state","As the system, I prevent changes once a loan is closed.","All personas","Loan stage is closed.","Pipeline actions are hidden for closed loans; changeStage returns Loan is closed for further attempts.","components/LoanWorkspace.tsx OverviewTab; lib/repo.ts changeStage","/loans/{id} Overview; /api/loans/{id}/stage","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-019","Pipeline","Stage history","As a participant, I can review the chronological stage history with actors, notes, and timestamps.","Authorized users","Loan has stage_events.","Overview stage history lists events ordered by createdAt, showing from/to stage, actor, optional note, and timestamp.","components/LoanWorkspace.tsx OverviewTab; lib/repo.ts getLoanDetail","/loans/{id} Overview","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-020","Documents","Request document","As staff, I can request a document from the borrower.","Loan officer, credit analyst, underwriter, manager","Current user is staff; loan exists.","Documents tab shows request form; name required client-side; POST creates requested document with docType and optional dueDate; loan touched; activity logged.","components/LoanWorkspace.tsx DocumentsTab; app/api/loans/[id]/documents/route.ts; lib/repo.ts requestDocument","/loans/{id} Documents; /api/loans/{id}/documents","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-021","Documents","Borrower cannot request document","As a borrower, I should not be able to request documents.","Borrower","Current user is borrower on own loan.","Request document form is hidden; POST /documents returns 403.","lib/policy.ts; components/LoanWorkspace.tsx DocumentsTab; app/api/loans/[id]/documents/route.ts","/loans/{id} Documents; /api/loans/{id}/documents","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-022","Documents","Upload requested or rejected document","As a borrower or staff user, I can mark a requested/rejected document as uploaded.","Borrower on own loan, staff","Document status is requested or rejected.","Mark uploaded button appears when perms.upload and user is own borrower or staff; PATCH /api/documents/{id} status uploaded updates status, uploadedById, timestamp, activity.","components/LoanWorkspace.tsx DocumentsTab; app/api/documents/[id]/route.ts; lib/repo.ts updateDocumentStatus","/loans/{id} Documents; /api/documents/{id}","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-023","Documents","Approve uploaded document","As staff, I can approve an uploaded document.","Loan officer, credit analyst, underwriter, manager","Document status is uploaded.","Approve button appears for reviewers; PATCH status approved updates status and logs activity.","components/LoanWorkspace.tsx DocumentsTab; app/api/documents/[id]/route.ts","/loans/{id} Documents; /api/documents/{id}","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-024","Documents","Reject uploaded document","As staff, I can reject an uploaded document.","Loan officer, credit analyst, underwriter, manager","Document status is uploaded.","Reject button appears for reviewers; PATCH status rejected updates status and logs activity; existing note is preserved unless API note is supplied.","components/LoanWorkspace.tsx DocumentsTab; lib/repo.ts updateDocumentStatus","/loans/{id} Documents; /api/documents/{id}","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-025","Documents","Document empty state","As a participant, I see a clear empty state when no documents are requested.","Authorized users","Loan has no documents.","Documents tab shows No documents requested yet.","components/LoanWorkspace.tsx DocumentsTab","/loans/{id} Documents","Tested - passed","Manual/browser","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-026","Tasks","Create assigned task","As staff, I can create a task and assign it to staff or the borrower.","Loan officer, credit analyst, underwriter, manager","Current user is staff; assignable users include all staff plus borrower.","Tasks tab shows form; POST creates todo task with title, optional assignee and dueDate; activity logs created task and assignee if any.","components/LoanWorkspace.tsx TasksTab; app/api/loans/[id]/tasks/route.ts; lib/repo.ts createTask","/loans/{id} Tasks; /api/loans/{id}/tasks","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-027","Tasks","Create unassigned task","As staff, I can create a task without an assignee.","Staff","Task title entered; Assign to left Unassigned.","Task is created with assigneeId null and displays ? avatar and Unassigned label.","components/LoanWorkspace.tsx TasksTab; lib/repo.ts createTask","/loans/{id} Tasks","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
