"ID","Area","Feature","User story","Primary persona(s)","Preconditions","Expected behavior based on code","Evidence source","UI/API path","Current status","Test method","Test result","Error or UX issue","Fix status","Retest result"
"LF-028","Tasks","Update task status","As staff, task assignee, or borrower on own loan, I can move allowed tasks between To Do, In Progress, and Done.","Staff, assignee, borrower on own loan","Task exists; user meets route permission.","Task status select appears when canUpdate is true; PATCH validates status and updates task; status changes are logged to activity.","components/LoanWorkspace.tsx TasksTab; app/api/tasks/[id]/route.ts; lib/repo.ts updateTask","/loans/{id} Tasks; /api/tasks/{id}","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-029","Tasks","Unauthorized task update blocked","As an unrelated user, I cannot update a task I should not access.","Unrelated borrower or unassigned staff non-member","Task exists on loan user cannot update.","PATCH /api/tasks/{id} returns 403 unless staff member/manager, assignee, or owner borrower.","app/api/tasks/[id]/route.ts","/api/tasks/{id}","Tested - passed","API/script","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-030","Tasks","Task dashboard count and badges update","As a user, my dashboard task panel and loan-card badges reflect non-done task changes.","Task assignees","Task status changes from non-done to done or vice versa.","listMyOpenTasks and listLoansForUser counts include status != done only; dashboard updates after refresh.","lib/repo.ts; app/page.tsx","/","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-031","Team","View loan team","As a participant, I can see the borrower and assigned bank team members for the loan.","Authorized users","Loan has borrower and members.","Team tab lists borrower first with org, then members with avatar and role label.","components/LoanWorkspace.tsx TeamTab","/loans/{id} Team","Tested - passed","Manual/browser","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-032","Team","Assign staff member","As a loan officer or manager, I can assign an available staff member to a loan.","Loan officer, manager","Current user can member:assign; staff user is not already a member.","Assign form appears when available staff exists; POST rejects borrowers; addMember uses INSERT OR IGNORE; loan touched; activity logged.","components/LoanWorkspace.tsx TeamTab; app/api/loans/[id]/members/route.ts; lib/repo.ts assignMember","/loans/{id} Team; /api/loans/{id}/members","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-033","Team","Team assignment authorization and filtering","As unauthorized users, I should not see assignment controls; already assigned staff and borrowers should not be selectable.","Borrower, credit analyst, underwriter, existing members","Loan team exists.","Assign controls render only for member:assign and available staff length > 0; available excludes current members; API rejects borrower target and unauthorized callers.","components/LoanWorkspace.tsx TeamTab; app/api/loans/[id]/members/route.ts","/loans/{id} Team","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-034","Collaboration","Post comment","As a loan participant, I can post a comment to the discussion.","Authorized users","User can comment:create for loan.","Activity tab shows textarea and Post comment; POST body required; comment is added with author/timestamp; activity logs posted a comment.","components/LoanWorkspace.tsx ActivityTab; app/api/loans/[id]/comments/route.ts; lib/repo.ts addComment","/loans/{id} Activity; /api/loans/{id}/comments","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-035","Collaboration","Read comments","As a participant, I can read the chronological discussion thread.","Authorized users","Loan has comments or none.","Activity tab Discussion lists comments ordered createdAt; empty state shows No comments yet.","components/LoanWorkspace.tsx ActivityTab; lib/repo.ts getLoanDetail","/loans/{id} Activity","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-036","Collaboration","Read activity feed","As a participant, I can review material actions in reverse chronological order.","Authorized users","Loan has activity rows.","Activity feed lists actor avatar/name, summary, and timestamp ordered createdAt DESC, id DESC.","components/LoanWorkspace.tsx ActivityTab; lib/repo.ts getLoanDetail","/loans/{id} Activity","Tested - passed","Manual/browser/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-037","API","Session API","As the app, I can read and switch the current mock session user.","App shell","Users table populated.","GET /api/session returns current fallback/cookie user; POST validates userId, sets lf_uid cookie, and returns ok.","app/api/session/route.ts; lib/auth.ts","/api/session","Tested - passed","API/script","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-038","API","Users API","As the app, I can list seeded users for the persona switcher.","App shell","Users table populated.","GET /api/users returns listUsers ordered by id.","app/api/users/route.ts; lib/repo.ts listUsers","/api/users","Tested - passed","API/script","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-039","API","Loans API list and detail","As the app, I can fetch role-scoped loans and a single authorized loan detail.","App shell","Session user selected.","GET /api/loans returns listLoansForUser; GET /api/loans/{id} returns aggregate detail when authorized and 403 otherwise.","app/api/loans/route.ts; app/api/loans/[id]/route.ts","/api/loans; /api/loans/{id}","Tested - passed","API/script","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-040","AI-DLC docs","AI-DLC artifact index","As a demo viewer, I can see the AI-DLC artifact library and artifact metrics.","Demo viewer","aidlc-docs files exist.","/aidlc lists artifacts grouped by phase, shows metrics, functional scope excerpt, run/verify excerpt, and links to detail pages.","app/aidlc/page.tsx; app/aidlc/artifacts.ts","/aidlc","Tested - passed","Manual/browser/HTTP","Passed by npm run story:check and browser navigation/read checks.","None found in tested behavior.","No fix required","Passed after mobile nav fix."
"LF-041","AI-DLC docs","AI-DLC artifact detail","As a demo viewer, I can open each AI-DLC artifact and read its rendered markdown with section navigation.","Demo viewer","Artifact slug is known.","/aidlc/{slug} validates slug, renders metadata, sections, metrics, and MarkdownDocument content; unknown slug returns notFound.","app/aidlc/[slug]/page.tsx; components/MarkdownDocument.tsx","/aidlc/{slug}","Tested - passed","Manual/browser/HTTP","Passed by npm run story:check and browser navigation/read checks.","None found in tested behavior.","No fix required","Passed after mobile nav fix."
"LF-042","README demo","README nav and page","As a demo viewer, I can open the project README inside the app to explain AI-DLC usage and TODOs.","Demo viewer","README.md exists.","Header README link opens /readme; page reads README.md from process cwd and renders it through MarkdownDocument.","components/Header.tsx; app/readme/page.tsx; components/MarkdownDocument.tsx","/readme","Tested - passed","Manual/browser/HTTP","Passed by npm run story:check and browser navigation/read checks.","None found in tested behavior.","No fix required","Passed after mobile nav fix."
"LF-043","Fallbacks","Not-found page","As a user, I see a friendly not-found page for unknown pages or missing loan details.","All users","Unknown route or missing loan id requested.","app/not-found.tsx renders card with Not found, explanatory copy, and Back to pipeline link.","app/not-found.tsx; app/loans/[id]/page.tsx","/unknown; /loans/9999","Tested - passed","Manual/browser/HTTP","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-044","Demo data","Seed script","As a developer/demo operator, I can reset and populate demo data.","Developer/demo operator","Node deps installed.","npm run seed wipes tables, inserts 6 personas and 2 loans with members, documents, tasks, comments, stage events, and activity.","scripts/seed.ts; package.json","npm run seed","Tested - passed","Command/API","Passed by npm run story:check (44/44) plus targeted browser checks for nav, role switching, loan detail tabs, README, AI-DLC, and new-loan form.","None found in tested behavior.","No fix required","Still passing after dependency/runtime and header fixes."
"LF-045","Verification tooling","Smoke script","As a developer, I can run automated data-layer smoke checks.","Developer","Node deps installed; DB available.","npm run smoke uses LOANFLOW_DB_PATH=data/loanflow-smoke.db so smoke checks can mutate an isolated database without wiping the demo database.","scripts/smoke.ts; package.json","npm run smoke","Fixed - retested","Command","Passed: npm run smoke completes with isolated DB.","Fixed: smoke previously wiped the main demo DB and left the running demo empty until seed was rerun.","Fixed in lib/db.ts and package.json smoke script.","Passed: smoke succeeds and main data/loanflow.db retains seeded demo data after reseed."
"LF-046","Tooling / Runtime","Node 26 SQLite native dependency compatibility","As a developer/demo operator, I can install and run the app under the current Node 26 runtime.","Developer/demo operator","Node v26.3.1 and npm install are used in this workspace.","better-sqlite3 loads successfully under Node ABI 147; seed, smoke, story checks, and build can run.","package.json; package-lock.json; lib/db.ts","npm install; npm run seed; npm run smoke; npm run story:check; npm run build","Fixed - retested","Command","Passed direct require check after upgrading better-sqlite3 to ^12.11.1; npm run build, npm run smoke, and npm run story:check passed under Node 26.","Fixed: better-sqlite3 11.x native binary failed against Node 26 ABI 147.","Fixed in package.json/package-lock.json.","Passed after clean install, Next 16 build, smoke, and 44/44 user-story checks."
"LF-047","Demo UX / Responsive","Mobile access to demo documentation nav","As a mobile demo viewer, I can reach LoanFlow App, AI-DLC artifacts, Feature tracker, and README from the header without resizing or guessing URLs.","Demo viewer","Viewport is 390px wide; app is running.","Header nav is visible at mobile widths and wraps below the brand when needed.","components/Header.tsx","/; /aidlc; /feature-tracker; /readme","Fixed - retested","Browser mobile snapshot/click","Passed: 390x844 browser snapshot shows LoanFlow App, AI-DLC artifacts, Feature tracker, and README; README click opens /readme.","Fixed: nav used hidden md:flex, so demo docs were inaccessible from the mobile header.","Fixed in components/Header.tsx and root nav label now reads LoanFlow App.","Passed on mobile and desktop browser snapshots."
"LF-048","Tooling / Framework","Next 16 route and cookie API compatibility","As a developer/demo operator, I can build and run the app on the upgraded Next runtime without page or API 500s.","Developer/demo operator","Next 16.2.9 is installed; app uses App Router dynamic pages and route handlers.","Dynamic pages and API handlers await params; getCurrentUser awaits cookies(); build and dev routes render without sync dynamic API errors.","app/**/[id]/**; app/aidlc/[slug]/page.tsx; lib/auth.ts; tsconfig.json","npm run build; /; /loans/1; /readme; /api/loans/1","Fixed - retested","Command/API/browser","Passed: npm run build on Next 16.2.9; npm run story:check 44/44; mobile README browser click passed.","Fixed: Next 15+ requires async params and cookies, which initially caused type errors and rendered-route 500s on stale dev server.","Fixed in dynamic pages, dynamic route handlers, and lib/auth.ts.","Passed after clean .next, fresh dev server, smoke, story checks, build, and mobile browser check."
"LF-049","Security / Dependency Audit","npm audit posture for Next bundled PostCSS advisory","As a developer/demo operator, I can see the remaining dependency audit status and know whether a safe repository fix exists.","Developer/demo operator","npm audit is run after upgrading Next to 16.2.9.","High Next advisories are removed by upgrading framework/runtime dependencies; residual advisory is tracked with current npm metadata and TODO status.","package.json; package-lock.json; npm audit --json","npm audit --json","Tracked residual TODO","Command","npm audit still reports 2 moderate items via Next bundled postcss even on next@16.2.9; npm fixAvailable suggests next@9.3.3, which is not a safe/applicable fix.","Residual upstream dependency-audit warning; no safe app-level patch identified from npm metadata.","Partially mitigated by upgrading Next from 14.2.33 to 16.2.9; keep TODO to re-run audit when Next publishes/remaps a modern patched release.","Build, smoke, and 44/44 story checks pass on Next 16.2.9 despite residual moderate audit item."
"LF-050","Demo UX / Tracker","Feature tracker table page","As a demo viewer, I can open a nav item that renders the canonical feature-status tracker as an in-app table.","Demo viewer","feature-status-tracker.csv exists and the app is running.","/feature-tracker reads feature-status-tracker.csv, renders summary metrics, and displays key tracker fields in a horizontally scrollable table; header nav links to it.","app/feature-tracker/page.tsx; components/Header.tsx; feature-status-tracker.csv","/feature-tracker","Tested - passed","Browser/HTTP/script","Passed by npm run story:check (45/45); GET /feature-tracker returned 200 and table contains tracker content.","None found in tested behavior.","No fix required","Passed after adding nav slug and table page."
"LF-051","AI-DLC / Reverse Engineering","Feature traceability loop automation","As an AI-DLC operator, I can run a loop that reverse engineers every feature into code-backed user stories, tracks them in one canonical matrix, tests each story, fixes logistical or UX errors, and retests affected behavior.","AI-DLC operator, reviewer","Existing app codebase and feature-status-tracker.csv are available.","AI-DLC includes a Reverse Engineering artifact that defines the loop, binds it to feature-status-tracker.csv, and exposes it in the /aidlc artifact library.","aidlc-docs/reverse-engineering/feature-traceability-loop.md; app/aidlc/artifacts.ts; scripts/user-story-checks.ts; aidlc-docs/aidlc-state.md","/aidlc/feature-traceability-loop; /feature-tracker","Tested - passed","Build/browser/HTTP/script","Passed: npm run build completed; /aidlc/feature-traceability-loop returned 200 and rendered the loop; npm run story:check includes LF-051.","None found in tested behavior.","No fix required","Passed after adding artifact, registry entry, and story harness coverage."
"LF-052","AI-DLC / HTML Artifacts","AI-DLC lifecycle HTML artifact slug","As a demo viewer, I can open the standalone AI-DLC lifecycle HTML diagram from the in-app AI-DLC artifact library using a normal artifact slug.","Demo viewer, AI-DLC operator","aidlc-docs/ai-dlc-lifecycle.html exists and the app is running.","/aidlc includes the lifecycle diagram artifact, and /aidlc/ai-dlc-lifecycle renders the self-contained HTML artifact as a fixed full-screen iframe for presentation with an Agentic Level heading above L1/L2/L3.","aidlc-docs/ai-dlc-lifecycle.html; app/aidlc/artifacts.ts; app/aidlc/[slug]/page.tsx; scripts/user-story-checks.ts","/aidlc/ai-dlc-lifecycle","Tested - passed","Build/browser/HTTP/script","Passed: npm run build completed; npm run story:check includes LF-052 and GET /aidlc/ai-dlc-lifecycle returned 200 with full-screen iframe classes and the Agentic Level label.","None found in tested behavior.","No fix required","Passed after adding HTML artifact registry metadata, full-screen iframe renderer, Agentic Level label coverage, and story harness coverage."
"LF-053","AI-DLC / Visual Artifacts","LoanFlow repository diagram artifact bundle","As a demo viewer, I can open every artifact from the loanflow-repository-diagram bundle as an in-app AI-DLC slug, including HTML prototypes, screenshots, README, and runtime source.","Demo viewer, AI-DLC operator","The loanflow-repository-diagram bundle has been copied into aidlc-docs/visual-artifacts and screenshot public paths exist.","The AI-DLC artifact registry exposes all imported bundle files; HTML prototypes render full-screen with their runtime inlined, screenshots render full-screen, README renders as Markdown, and support.js renders as code.","aidlc-docs/visual-artifacts/*; public/aidlc-artifacts/screenshots/*; app/aidlc/artifacts.ts; app/aidlc/[slug]/page.tsx; scripts/user-story-checks.ts","/aidlc/loanflow-diagram; /aidlc/loanflow-dev-process; /aidlc/org-scaling; /aidlc/persona-absorption; /aidlc/persona-absorption-screenshot-01; /aidlc/persona-absorption-screenshot-02; /aidlc/loanflow-repository-diagram-readme; /aidlc/loanflow-repository-diagram-runtime","Tested - passed","Build/browser/HTTP/script","Passed: npm run build completed; npm run story:check includes LF-053 and all 8 imported visual artifact slugs returned 200.","None found in tested behavior.","No fix required","Passed after copying the bundle, registering slugs, inlining support.js for .dc.html files, and adding image/code renderers."
"LF-054","AI-DLC / Reference Comparison","AWS v2 AI-DLC comparison artifact","As an AI-DLC reviewer, I can open an in-app slug that explains the differences between AWS Labs AI-DLC Workflows v2 and the LoanFlow-specific AI-DLC adaptation in a side-by-side table.","AI-DLC reviewer, demo viewer","AWS Labs v2 docs are reachable for reference and LoanFlow AI-DLC docs exist locally.","/aidlc/aws-v2-comparison renders a Markdown artifact comparing AWS v2 framework scope, phases, agents, state, audit, sensors, operations, and repository structure against the LoanFlow app-bound implementation.","aidlc-docs/reverse-engineering/aws-v2-comparison.md; app/aidlc/artifacts.ts; scripts/user-story-checks.ts","/aidlc/aws-v2-comparison","Tested - passed","Build/browser/HTTP/script","Passed: npm run build generated 23 pages; npm run story:check passed 49/49 and includes LF-054, verifying the comparison heading, side-by-side table, AWS stage count, and LoanFlow tracker reference.","None found in tested behavior.","No fix required","Passed after adding artifact, registry entry, and story harness coverage."
